_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri,_danceability,_energy,_key,_loudness,_mode,_speechiness,_acousticness,_instrumentalness,_liveness,_valence,_tempo,_duration_ms,_time_signature,_chorus_hit,_sections,_target,year,id,keywords
2008-05-31,Summertime,New Kids On The Block,36,13,"['american', 'boy band', 'dance-pop', 'pop', 'pop rap', 'teen pop']",Summertime,spotify:track:6WZ7g8fpIXkf1ySWn3GA5O,0.632,0.785,4.0,-7.336,1.0,0.101,0.00972,0.0,0.0676,0.786,83.94,202413.0,4.0,43.11986,7.0,1.0,2008,Summertime_by_New_Kids_On_The_Block,"american, boy band, dance-pop, pop, pop rap, teen pop"
2017-08-19,All The Pretty Girls,Kenny Chesney,63,14,"['contemporary country', 'country', 'country pop', 'singer/songwriter']",All The Pretty Girls,spotify:track:66pxmg3Jhjm09tHoWR1wVR,0.612,0.848,6.0,-3.736,1.0,0.0368,0.00916,0.0,0.366,0.719,120.996,212893.0,4.0,33.42375,9.0,1.0,2017,All_The_Pretty_Girls_by_Kenny_Chesney,"contemporary country, country, country pop, singer/songwriter"
2011-10-01,Let It Rain,David Nail Featuring Sarah Buxton,51,20,Unknown,Let It Rain,spotify:track:0DAjiINHQTnPnnY939Qyhw,0.56,0.619,4.0,-3.013,1.0,0.0405,0.385,1.03e-06,0.247,0.561,77.881,222253.0,4.0,26.05882,9.0,1.0,2011,Let_It_Rain_by_David_Nail_Featuring_Sarah_Buxton,Unknown
2001-03-31,Get Over Yourself,Eden's Crush,8,14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2001,Get_Over_Yourself_by_Eden's_Crush,Unknown
2006-01-07,Who I Am Hates Who I've Been,Relient K,58,11,"['canton', 'christian', 'christian rock', 'ohio', 'pop punk', 'poppunk', 'punk', 'rock', 'usa']",Who I Am Hates Who I've Been,spotify:track:23zxVVtHjo2mbtAoAg5XB4,0.398,0.902,3.0,-3.518,1.0,0.0861,0.00289,0.0,0.066,0.491,166.823,232267.0,4.0,26.31202,10.0,1.0,2006,Who_I_Am_Hates_Who_I've_Been_by_Relient_K,"canton, christian, christian rock, ohio, pop punk, poppunk, punk, rock, usa"
2009-05-23,Swag Surfin',F.L.Y. (Fast Life Yungstaz),62,11,Unknown,Swag Surfin',spotify:track:5ItzU5pBrFmRUudfr5RkJP,0.731,0.927,11.0,-5.663,0.0,0.0408,0.015,0.0,0.103,0.669,143.987,249920.0,4.0,34.25627,11.0,1.0,2009,Swag_Surfin'_by_F.L.Y._(Fast_Life_Yungstaz),Unknown
2008-09-27,I Don't Care,Fall Out Boy,21,20,"['acoustic rock', 'alternative rock', 'emo', 'emo pop', 'emo-pop', 'hardcore punk', 'pop and chart', 'pop punk', 'pop rock', 'post-emo', 'rock']",I Don't Care,spotify:track:7ewT0nLFkMD8ONbRibePr9,0.55,0.938,11.0,-3.556,0.0,0.0522,0.00171,2.18e-05,0.555,0.433,133.99,214493.0,4.0,48.82697,9.0,1.0,2008,I_Don't_Care_by_Fall_Out_Boy,"acoustic rock, alternative rock, emo, emo pop, emo-pop, hardcore punk, pop and chart, pop punk, pop rock, post-emo, rock"
2013-12-28,Confident,Justin Bieber Featuring Chance The Rapper,41,3,"['amazing', 'awful', 'black metal', 'christmas music', 'contemporary r&b', 'dance-pop', 'electropop', 'english', 'gay', 'pop', 'teen pop', 'terrible', 'tropical house']",Confident,spotify:track:5Isz0twJeFdduOQEFQLezv,0.738,0.563,5.0,-5.467,0.0,0.11,0.113,0.0,0.191,0.876,134.132,248133.0,4.0,29.31374,10.0,1.0,2013,Confident_by_Justin_Bieber_Featuring_Chance_The_Rapper,"amazing, awful, black metal, christmas music, contemporary r&b, dance-pop, electropop, english, gay, pop, teen pop, terrible, tropical house"
2021-05-15,Final Warning,NLE Choppa,90,1,['hip hop'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2021,Final_Warning_by_NLE_Choppa,hip hop
2020-12-26,Happiness,Taylor Swift,52,1,"['americana', 'contemporary country', 'country', 'country pop', 'country-pop', 'dance-pop', 'electropop', 'female vocals', 'fixme label mess', 'hp', 'icon', 'pop', 'pop rock', 'relic inn', 'singer-songwriter', 'singer/songwriter', 'taylor-swift', 'teen pop', 'top 40']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Happiness_by_Taylor_Swift,"americana, contemporary country, country, country pop, country-pop, dance-pop, electropop, female vocals, fixme label mess, hp, icon, pop, pop rock, relic inn, singer-songwriter, singer/songwriter, taylor-swift, teen pop, top 40"
2021-04-24,Shy Away,twenty one pilots,87,1,"['alternative hip hop', 'alternative rap', 'alternative rock', 'electropop', 'emo', 'hip hop', 'hip-hop', 'hip-hop/rap', 'indie', 'indie pop', 'indie rock', 'pop', 'pop rock', 'rap', 'rap rock', 'rock']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2021,Shy_Away_by_twenty_one_pilots,"alternative hip hop, alternative rap, alternative rock, electropop, emo, hip hop, hip-hop, hip-hop/rap, indie, indie pop, indie rock, pop, pop rock, rap, rap rock, rock"
2020-10-17,Fallin',Why Don't We,37,1,"['future pop', 'rising pop']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Fallin'_by_Why_Don't_We,"future pop, rising pop"
2009-06-20,Ego,Beyonce,39,17,"['alternative r&b', 'art pop', 'contemporary pop', 'contemporary r&b', 'country', 'dance-pop', 'electropop', 'funk', 'grammy winner', 'hard rock', 'hip hop rnb and dance hall', 'mbs-333', 'moombahton', 'pop', 'pop rap', 'r&b', 'rnb', 'soul']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2009,Ego_by_Beyonce,"alternative r&b, art pop, contemporary pop, contemporary r&b, country, dance-pop, electropop, funk, grammy winner, hard rock, hip hop rnb and dance hall, mbs-333, moombahton, pop, pop rap, r&b, rnb, soul"
