,date,song,artist,peak-rank,weeks-on-board
5109,2013-12-21,All The Way Home,Tamar Braxton,96,1
5110,2013-12-21,Do I Wanna Know?,Arctic Monkeys,70,20
5111,2013-12-21,Change Me,Justin Bieber,59,1
5112,2013-12-28,Confident,Justin Bieber Featuring Chance The Rapper,41,3
5113,2013-12-28,The Man,Aloe Blacc,8,20
5114,2013-12-28,My Story,R. Kelly Featuring 2 Chainz,89,1
5115,2013-12-28,V. 3005,Childish Gambino,64,20
5116,2013-12-28,Angel,Jacquie Lee,87,1
5117,2013-12-28,Cannonball,Lea Michele,75,1
5118,2013-12-28,Saturday,Rebecca Black & Dave Days,55,1
5119,2013-12-28,Bridge Over Troubled Water,Tessanne Chin,64,1
5120,2014-01-04,Drunk In Love,Beyonce Featuring Jay Z,2,20
5121,2014-01-04,I Have Nothing,Tessanne Chin,51,1
5122,2014-01-04,Talk Dirty,Jason Derulo Featuring 2 Chainz,3,33
5123,2014-01-04,Paranoid,Ty Dolla $ign Featuring B.o.B,29,20
5124,2014-01-04,Mine,Beyonce Featuring Drake,82,2
5125,2014-01-04,Let It Be,Tessanne Chin & Adam Levine,76,1
5126,2014-01-04,I Hold On,Dierks Bentley,40,19
5127,2014-01-04,Bottoms Up,Brantley Gilbert,20,25
5128,2014-01-04,XO,Beyonce,45,10
5129,2014-01-11,Turn Down For What,DJ Snake & Lil Jon,4,37
5130,2014-01-11,Neon Lights,Demi Lovato,36,20
5131,2014-01-11,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",51,18
5132,2014-01-11,For The First Time In Forever,Kristen Bell & Idina Menzel,57,19
5133,2014-01-18,Love Don't Die,The Fray,60,9
5134,2014-01-18,Drink To That All Night,Jerrod Niemann,34,20
5135,2014-01-18,Young Girls,Bruno Mars,32,14
5136,2014-01-18,19 You + Me,Dan + Shay,42,18
5137,2014-01-18,Happy,Pharrell Williams,1,47
5138,2014-01-25,Ride,SoMo,76,15
5139,2014-01-25,You Sound Good To Me,Lucy Hale,88,1
5140,2014-01-25,Goodnight Kiss,Randy Houser,52,16
5141,2014-01-25,Get Me Some Of That,Thomas Rhett,41,20
5142,2014-01-25,Give Me Back My Hometown,Eric Church,36,20
5143,2014-01-25,She Knows,J. Cole Featuring Amber Coffman & The Cults,90,5
5144,2014-01-25,How I Feel,Flo Rida,96,2
5145,2014-01-25,Partition,Beyonce,23,21
5146,2014-02-01,Can't Remember To Forget You,Shakira Featuring Rihanna,15,19
5147,2014-02-01,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,9,36
5148,2014-02-01,Rewind,Rascal Flatts,38,20
5149,2014-02-01,Doin' What She Likes,Blake Shelton,35,17
5150,2014-02-01,Thinking About You,Calvin Harris Featuring Ayah Marar,86,6
5151,2014-02-01,Take Me Home,Cash Cash Featuring Bebe Rexha,57,13
5152,2014-02-01,Everything I Shouldn't Be Thinking About,Thompson Square,69,12
5153,2014-02-01,Oceans (Where Feet May Fail),Hillsong UNITED,83,13
5154,2014-02-08,Man Of The Year,ScHoolboy Q,62,13
5155,2014-02-08,El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,85,1
5156,2014-02-08,Invisible,Hunter Hayes,44,12
5157,2014-02-08,Na Na,Trey Songz,21,28
5158,2014-02-08,Chocolate,The 1975,80,6
5159,2014-02-08,They Don't Know,Rico Love,73,7
5160,2014-02-08,Mmm Yeah,Austin Mahone Featuring Pitbull,49,15
5161,2014-02-15,Odio,Romeo Santos Featuring Drake,45,11
5162,2014-02-15,Can't Raise A Man,K. Michelle,94,7
5163,2014-02-15,A Man Who Was Gonna Die Young,Eric Church,89,1
5164,2014-02-15,On Top Of The World,Imagine Dragons,79,20
5165,2014-02-15,Cop Car,Keith Urban,41,18
5166,2014-02-15,Follow Your Arrow,Kacey Musgraves,60,1
5167,2014-02-22,The Worst,Jhene Aiko,43,20
5168,2014-02-22,Human,Christina Perri,31,20
5169,2014-02-22,Beat Of The Music,Brett Eldredge,44,20
5170,2014-03-01,Explosions,Ellie Goulding,100,1
5171,2014-03-01,Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,80,1
5172,2014-03-01,You're Mine (Eternal),Mariah Carey,88,1
5173,2014-03-01,Classic,MKTO,14,27
5174,2014-03-01,Stoner,Young Thug,47,15
5175,2014-03-01,Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,57,3
5176,2014-03-01,Automatic,Miranda Lambert,35,19
5177,2014-03-08,Glory And Gore,Lorde,68,3
5178,2014-03-08,La La La,Naughty Boy Featuring Sam Smith,19,20
5179,2014-03-08,Ordinary Love,U2,84,2
5180,2014-03-08,Lettin' The Night Roll,Justin Moore,49,20
5181,2014-03-15,Sleeping With A Friend,Neon Trees,51,16
5182,2014-03-15,Wild Wild Love,Pitbull Featuring G.R.L.,30,18
5183,2014-03-15,The Walker,Fitz And The Tantrums,67,12
5184,2014-03-15,Ain't It Fun,Paramore,10,24
5185,2014-03-15,#SELFIE,The Chainsmokers,16,11
5186,2014-03-15,Not A Bad Thing,Justin Timberlake,8,22
5187,2014-03-22,Magic,Coldplay,14,14
5188,2014-03-22,Sanctified,Rick Ross Featuring Kanye West & Big Sean,78,1
5189,2014-03-22,The Devil Is A Lie,Rick Ross Featuring JAY Z,86,1
5190,2014-03-22,Fancy,Iggy Azalea Featuring Charli XCX,1,39
5191,2014-03-22,Adrenalina,Wisin Featuring Jennifer Lopez & Ricky Martin,94,1
5192,2014-03-22,Raging Fire,Phillip Phillips,58,8
5193,2014-03-22,Trophies,Young Money Featuring Drake,50,20
5194,2014-03-29,We Might Be Dead By Tomorrow,Soko,9,1
5195,2014-03-29,Love Is An Open Door,Kristen Bell & Santino Fontana,49,4
5196,2014-03-29,Play It Again,Luke Bryan,14,20
5197,2014-03-29,Headlights,Eminem Featuring Nate Ruess,45,8
5198,2014-03-29,Slow Me Down,Sara Evans,89,5
5199,2014-03-29,Who Do You Love?,YG Featuring Drake,54,20
5200,2014-03-29,Red Lights,Tiesto,56,13
5201,2014-03-29,I Luh Ya Papi,Jennifer Lopez Featuring French Montana,77,2
5202,2014-03-29,Move That Doh,"Future Featuring Pharrell, Pusha T & Casino",46,18
5203,2014-03-29,Latch,Disclosure Featuring Sam Smith,7,33
5204,2014-03-29,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,48,20
5205,2014-04-05,Lookin' For That Girl,Tim McGraw,85,4
5206,2014-04-05,Beating Heart,Ellie Goulding,88,3
5207,2014-04-05,Summer,Calvin Harris,7,26
5208,2014-04-12,Me And My Broken Heart,Rixton,14,20
5209,2014-04-12,John Doe,B.o.B Featuring Priscilla,69,5
5210,2014-04-12,Beachin',Jake Owen,26,20
5211,2014-04-12,Whiskey In My Water,Tyler Farr,52,18
5212,2014-04-12,Fever,The Black Keys,77,3
5213,2014-04-12,G.U.Y.,Lady Gaga,76,1
5214,2014-04-12,Empire,Shakira,58,12
5215,2014-04-19,Come With Me Now,KONGOS,31,21
5216,2014-04-19,She Looks So Perfect,5 Seconds Of Summer,24,20
5217,2014-04-19,Stay With Me,Sam Smith,2,54
5218,2014-04-26,Sing,Ed Sheeran,13,20
5219,2014-04-26,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,59,6
5220,2014-04-26,Cut Her Off,KCamp Featuring 2 Chainz,49,20
5221,2014-04-26,Birthday,Katy Perry,17,18
5222,2014-04-26,Bad Blood,Bastille,95,1
5223,2014-04-26,Feelin' Myself,"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",96,2
5224,2014-04-26,Girls Chase Boys,Ingrid Michaelson,52,20
5225,2014-05-03,West Coast,Lana Del Rey,17,2
5226,2014-05-03,Love Runs Out,OneRepublic,15,20
5227,2014-05-03,Midnight,Coldplay,29,3
5228,2014-05-03,Am I Wrong,Nico & Vinz,4,31
5229,2014-05-03,We Dem Boyz,Wiz Khalifa,43,20
5230,2014-05-03,"Where It's At (Yep, Yep)",Dustin Lynch,42,20
5231,2014-05-03,I Don't Dance,Lee Brice,33,20
5232,2014-05-03,You & I,One Direction,68,11
5233,2014-05-10,Stay With Me,Josh Kaufman,92,1
5234,2014-05-10,Who I Am With You,Chris Young,48,19
5235,2014-05-10,We Are Tonight,Billy Currington,60,19
5236,2014-05-10,Rude,MAGIC!,1,41
5237,2014-05-10,Yeah,Joe Nichols,41,20
5238,2014-05-10,Wake Up Lovin' You,Craig Morgan,99,2
5239,2014-05-10,I Won,Future Featuring Kanye West,98,3
5240,2014-05-10,Hello Kitty,Avril Lavigne,75,1
5241,2014-05-17,Problem,Ariana Grande Featuring Iggy Azalea,2,25
5242,2014-05-17,A Sky Full Of Stars,Coldplay,10,26
5243,2014-05-17,Love Never Felt So Good,Michael Jackson & Justin Timberlake,9,20
5244,2014-05-17,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12,30
5245,2014-05-17,My Baby's Guns N' Roses,Brantley Gilbert,87,1
5246,2014-05-17,Work,Iggy Azalea,54,20
5247,2014-05-17,My Eyes,Blake Shelton Featuring Gwen Sebastian,39,16
5248,2014-05-17,Keep Them Kisses Comin',Craig Campbell,72,10
5249,2014-05-17,The Big Bang,Katy Tiz,100,1
5250,2014-05-17,"Hold On, We're Going Home",Christina Grimmie,74,1
5251,2014-05-17,Wiggle,Jason Derulo Featuring Snoop Dogg,5,21
5252,2014-05-24,How To Love,Christina Grimmie,79,1
5253,2014-05-24,I Choose You,Sara Bareilles,81,5
5254,2014-05-24,Come Get It Bae,Pharrell Williams,23,15
5255,2014-05-24,River Bank,Brad Paisley,54,18
5256,2014-05-24,17 Again,Brantley Gilbert,90,1
5257,2014-05-24,2 On,Tinashe Featuring ScHoolboy Q,24,24
5258,2014-05-24,Chandelier,Sia,8,46
5259,2014-05-24,Good Kisser,Usher,65,19
5260,2014-05-24,I Can't Make You Love Me,Josh Kaufman,71,1
5261,2014-05-31,Don't Stop,5 Seconds Of Summer,47,3
5262,2014-05-31,One,Ed Sheeran,87,1
5263,2014-05-31,Drunk On A Plane,Dierks Bentley,27,20
5264,2014-05-31,Main Chick,Kid Ink Featuring Chris Brown,60,20
5265,2014-05-31,Chainsaw,The Band Perry,86,9
5266,2014-05-31,Heaven,Jake Worthington,98,1
5267,2014-06-07,Pills N Potions,Nicki Minaj,24,18
5268,2014-06-07,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,19,20
5269,2014-06-07,Slave To The Rhythm,Michael Jackson,45,1
5270,2014-06-07,Bartender,Lady Antebellum,31,20
5271,2014-06-07,Leave Your Lover,Sam Smith,92,1
5272,2014-06-07,Dare (La La La),Shakira,53,11
5273,2014-06-07,Can't Help Falling In Love,Christina Grimmie,74,1
5274,2014-06-07,Somebody That I Used To Know,Christina Grimmie & Adam Levine,66,1
5275,2014-06-14,Good Girls,5 Seconds Of Summer,34,2
5276,2014-06-14,Believe Me,Lil Wayne Featuring Drake,26,20
5277,2014-06-14,Meanwhile Back At Mama's,Tim McGraw Featuring Faith Hill,41,19
5278,2014-06-14,Shades Of Cool,Lana Del Rey,79,1
5279,2014-06-14,I Got A Car,George Strait,89,7
5280,2014-06-14,XO,John Mayer,90,1
5281,2014-06-14,Trumpets,Jason Derulo,14,32
5282,2014-06-14,Habits (Stay High),Tove Lo,3,39
5283,2014-06-21,Day Drinking,Little Big Town,40,20
5284,2014-06-21,Shower,Becky G,16,20
5285,2014-06-21,Wasted,Tiesto Featuring Matthew Koma,49,12
5286,2014-06-21,Song About A Girl,Eric Paslay,85,10
5287,2014-06-21,I'm Ready,AJR,65,11
5288,2014-06-21,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,38,20
5289,2014-06-21,Boom Clap,Charli XCX,8,25
5290,2014-06-21,I'm Not The Only One,Sam Smith,5,37
5291,2014-06-21,Ultraviolence,Lana Del Rey,70,1
5292,2014-06-28,Don't,Ed Sheeran,9,36
5293,2014-06-28,Hangover,PSY Featuring Snoop Dogg,26,1
5294,2014-06-28,Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,67,20
5295,2014-06-28,Rather Be,Clean Bandit Featuring Jess Glynne,10,31
5296,2014-06-28,Hope You Get Lonely Tonight,Cole Swindell,50,20
5297,2014-06-28,Jungle,Jamie N Commons & X Ambassadors,87,2
5298,2014-07-05,Kiss Me Kiss Me,5 Seconds Of Summer,28,1
5299,2014-07-05,Afire Love,Ed Sheeran,37,1
5300,2014-07-05,Maps,Maroon 5,6,22
5301,2014-07-05,First Love,Jennifer Lopez,87,3
5302,2014-07-05,American Kids,Kenny Chesney,23,20
5303,2014-07-05,No Mediocre,T.I. Featuring Iggy Azalea,33,20
5304,2014-07-12,Life Of The Party,Shawn Mendes,24,2
5305,2014-07-12,Get Her Back,Robin Thicke,82,1
5306,2014-07-12,Don't Tell 'Em,Jeremih Featuring YG,6,31
5307,2014-07-12,Riptide,Vance Joy,30,44
5308,2014-07-12,Leave The Night On,Sam Hunt,30,21
5309,2014-07-12,She Twerkin,Ca$h Out,98,3
5310,2014-07-19,Break Free,Ariana Grande Featuring Zedd,4,22
5311,2014-07-19,Amnesia,5 Seconds Of Summer,16,20
5312,2014-07-19,Foreign,Trey Songz,84,10
5313,2014-07-19,New Flame,Chris Brown Featuring Usher & Rick Ross,27,22
5314,2014-07-19,Calm Down,Busta Rhymes Featuring Eminem,94,1
5315,2014-07-19,Black Widow,Iggy Azalea Featuring Rita Ora,3,30
5316,2014-07-19,Ten Feet Tall,Afrojack Featuring Wrabel,100,1
5317,2014-07-26,Bo$$,Fifth Harmony,43,15
5318,2014-07-26,Dirt,Florida Georgia Line,11,20
5319,2014-07-26,Sunshine & Whiskey,Frankie Ballard,57,20
5320,2014-07-26,All About That Bass,Meghan Trainor,1,47
5321,2014-07-26,Fight Night,Migos,69,16
5322,2014-07-26,Dust,Eli Young Band,79,9
5323,2014-07-26,Cool Kids,Echosmith,13,23
5324,2014-07-26,Try,Colbie Caillat,55,20
5325,2014-07-26,You & I (Nobody In The World),John Legend,66,2
5326,2014-08-02,Word Crimes,"""Weird Al"" Yankovic",39,2
5327,2014-08-02,Everything I Didn't Say,5 Seconds Of Summer,24,1
5328,2014-08-02,Roller Coaster,Luke Bryan,43,20
5329,2014-08-02,Hideaway,Kiesza,51,14
5330,2014-08-02,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16,25
5331,2014-08-09,Burnin' It Down,Jason Aldean,12,20
5332,2014-08-09,Happy Little Pill,Troye Sivan,92,1
5333,2014-08-09,Stolen Dance,Milky Chance,39,25
5334,2014-08-09,0 To 100 / The Catch Up,Drake,35,20
5335,2014-08-16,It Was Always You,Maroon 5,45,3
5336,2014-08-16,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3,31
5337,2014-08-16,Chasing The Sun,Hilary Duff,79,1
5338,2014-08-16,This Is How We Do,Katy Perry,24,18
5339,2014-08-16,Hot Boy,Bobby Shmurda,6,25
5340,2014-08-16,No Flex Zone,Rae Sremmurd,36,20
5341,2014-08-16,I Will Never Let You Down,Rita Ora,77,6
5342,2014-08-16,Girl In A Country Song,Maddie & Tae,54,20
5343,2014-08-23,Anaconda,Nicki Minaj,2,22
5344,2014-08-23,Wild Life,Jack & Jack,87,1
5345,2014-08-23,Fireball,Pitbull Featuring John Ryan,23,20
5346,2014-08-23,Cold One,Eric Church,88,6
5347,2014-08-23,About The Money,T.I. Featuring Young Thug,42,20
5348,2014-08-30,Best Mistake,Ariana Grande Featuring Big Sean,49,2
5349,2014-08-30,Later On,The Swon Brothers,86,9
5350,2014-08-30,Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",84,3
5351,2014-08-30,Hookah,Tyga Featuring Young Thug,85,11
5352,2014-08-30,Take Me To Church,Hozier,2,41
5353,2014-09-06,Shake It Off,Taylor Swift,1,50
5354,2014-09-06,Neon Light,Blake Shelton,43,20
5355,2014-09-06,Animals,Maroon 5,3,33
5356,2014-09-06,Waves,Mr. Probz,14,25
5357,2014-09-06,Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",90,3
5358,2014-09-06,Walk Thru,Rich Homie Quan Featuring Problem,74,7
5359,2014-09-13,Guts Over Fear,Eminem Featuring Sia,22,3
5360,2014-09-13,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,41,20
5361,2014-09-13,She Came To Give It To You,Usher Featuring Nicki Minaj,89,2
5362,2014-09-13,Somewhere In My Car,Keith Urban,49,20
5363,2014-09-13,24 Hours,TeeFLii Featuring 2 Chainz,85,7
5364,2014-09-20,Look At You,Big & Rich,73,14
5365,2014-09-20,Seen It All,Jeezy Featuring Jay Z,85,2
5366,2014-09-20,Secrets,Mary Lambert,66,10
5367,2014-09-20,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,43,20
5368,2014-09-20,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",39,20
5369,2014-09-20,Sweet Little Somethin',Jason Aldean,71,2
5370,2014-09-27,Blame,Calvin Harris Featuring John Newman,19,20
5371,2014-09-27,Centuries,Fall Out Boy,10,34
5372,2014-09-27,Jealous,Nick Jonas,7,32
5373,2014-09-27,Bend Ova,Lil Jon Featuring Tyga,92,3
5374,2014-09-27,Dear Future Husband,Meghan Trainor,14,24
5375,2014-09-27,Angel In Blue Jeans,Train,79,3
5376,2014-09-27,Two Night Town,Jason Aldean,76,1
5377,2014-10-04,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,18,9
5378,2014-10-04,Sun Daze,Florida Georgia Line,44,20
5379,2014-10-04,Superheroes,The Script,73,9
5380,2014-10-04,X,Chris Brown,98,1
5381,2014-10-04,You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,82,10
5382,2014-10-04,No Love,August Alsina,69,18
5383,2014-10-04,Gonna Know We Were Here,Jason Aldean,54,16
5384,2014-10-11,i,Kendrick Lamar,39,11
5385,2014-10-11,Handsome And Wealthy,Migos,79,8
5386,2014-10-11,Feelin' It,Scotty McCreery,84,11
5387,2014-10-11,Close Your Eyes,Parmalee,69,16
5388,2014-10-11,Left Hand Free,alt-J,99,1
5389,2014-10-11,Tuesday,I LOVE MAKONNEN Featuring Drake,12,22
5390,2014-10-11,No Type,Rae Sremmurd,16,26
5391,2014-10-11,Anything Goes,Florida Georgia Line,55,18
5392,2014-10-11,Tonight Looks Good On You,Jason Aldean,46,18
5393,2014-10-11,I Don't F**k With You,Big Sean Featuring E-40,11,29
5394,2014-10-18,Steal My Girl,One Direction,13,18
5395,2014-10-18,Something In The Water,Carrie Underwood,24,20
5396,2014-10-18,U Guessed It,OG Maco Featuring 2 Chainz,90,4
5397,2014-10-18,Shotgun Rider,Tim McGraw,38,20
5398,2014-10-18,Heroes (We Could Be),Alesso Featuring Tove Lo,31,20
5399,2014-10-18,Yellow Flicker Beat,Lorde,34,9
5400,2014-10-18,Just Gettin' Started,Jason Aldean,54,18
5401,2014-10-18,Bumpin' The Night,Florida Georgia Line,69,1
5402,2014-10-25,EW!,Jimmy Fallon Featuring will.i.am,26,2
5403,2014-10-25,Body Language,Kid Ink Featuring Usher & Tinashe,72,18
5404,2014-10-25,The Days,Avicii,78,1
5405,2014-10-25,Love Me Harder,Ariana Grande & The Weeknd,7,22
5406,2014-10-25,Perfect Storm,Brad Paisley,52,17
5407,2014-10-25,L.A.LOVE (la la),Fergie,27,18
5408,2014-10-25,Errrbody,Yo Gotti,98,1
5409,2014-10-25,Sippin' On Fire,Florida Georgia Line,40,20
5410,2014-10-25,Thinking Out Loud,Ed Sheeran,2,58
5411,2014-11-01,Out Of The Woods,Taylor Swift,18,10
5412,2014-11-01,In Your Arms,Nico & Vinz,72,12
5413,2014-11-01,Burnin' Up,Jessie J Featuring 2 Chainz,86,6
5414,2014-11-01,I'm Not Gonna Miss You,Glen Campbell,90,1
5415,2014-11-01,Bobby Bitch,Bobby Shmurda,92,3
5416,2014-11-01,Often,The Weeknd,59,20
5417,2014-11-01,Drinking Class,Lee Brice,53,22
5418,2014-11-08,Baby Don't Lie,Gwen Stefani,46,6
5419,2014-11-08,Welcome To New York,Taylor Swift,48,2
5420,2014-11-08,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,8,35
5421,2014-11-08,Talladega,Eric Church,43,20
5422,2014-11-08,Beg For It,Iggy Azalea Featuring M0,27,16
5423,2014-11-08,Lips Are Movin,Meghan Trainor,4,29
5424,2014-11-08,Dangerous,David Guetta Featuring Sam Martin,56,15
5425,2014-11-08,Made Me,Snootie Wild Featuring K Camp,93,3
5426,2014-11-08,God Made Girls,RaeLynn,61,16
5427,2014-11-08,Try Me,DeJ Loaf,45,20
5428,2014-11-08,Outside,Calvin Harris Featuring Ellie Goulding,29,20
5429,2014-11-15,Blank Space,Taylor Swift,1,36
5430,2014-11-15,Bad Blood,Taylor Swift Featuring Kendrick Lamar,1,25
5431,2014-11-15,Wildest Dreams,Taylor Swift,5,27
5432,2014-11-15,Til It's Gone,Kenny Chesney,60,14
5433,2014-11-15,Ghost,Ella Henderson,21,20
5434,2014-11-15,I Bet My Life,Imagine Dragons,28,22
5435,2014-11-15,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",12,25
5436,2014-11-15,Style,Taylor Swift,6,32
5437,2014-11-15,I Won't Let You Down,OK Go,71,1
5438,2014-11-22,The Heart Wants What It Wants,Selena Gomez,6,20
5439,2014-11-22,Ready To Run,One Direction,77,1
5440,2014-11-22,Something Big,Shawn Mendes,80,3
5441,2014-11-22,Mean To Me,Brett Eldredge,53,20
5442,2014-11-22,Homegrown Honey,Darius Rucker,53,20
5443,2014-11-22,Shut Up And Dance,WALK THE MOON,4,53
5444,2014-11-29,She Knows,Ne-Yo Featuring Juicy J,19,20
5445,2014-11-29,18,One Direction,87,1
5446,2014-11-29,Where Do Broken Hearts Go,One Direction,88,1
5447,2014-11-29,Make Me Wanna,Thomas Rhett,43,20
5448,2014-11-29,Uptown Funk!,Mark Ronson Featuring Bruno Mars,1,56
5449,2014-12-06,"Mary, Did You Know?",Pentatonix,26,7
5450,2014-12-06,Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,78,1
5451,2014-12-06,CoCo,O.T. Genasis,20,20
5452,2014-12-06,Take Me To Church,Matt McAndrew,92,1
5453,2014-12-06,I Don't Mind,Usher Featuring Juicy J,11,23
5454,2014-12-06,Stockholm Syndrome,One Direction,99,1
5455,2014-12-06,Night Changes,One Direction,31,20
5456,2014-12-06,Bed Of Lies,Nicki Minaj Featuring Skylar Grey,62,6
5457,2014-12-06,Do They Know It's Christmas? (2014),Band Aid 30,63,1
5458,2014-12-13,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,12,17
5459,2014-12-13,7/11,Beyonce,13,20
5460,2014-12-13,I Walk The Line,Craig Wayne Boyd,84,1
5461,2014-12-13,I See You,Luke Bryan,41,19
5462,2014-12-13,Sledgehammer,Fifth Harmony,40,15
5463,2014-12-13,Time Of Our Lives,Pitbull & Ne-Yo,9,27
5464,2014-12-13,I Lived,OneRepublic,32,17
5465,2014-12-13,Santa Tell Me,Ariana Grande,17,12
5466,2014-12-20,Make It Rain,Ed Sheeran,34,2
5467,2014-12-20,The Blower's Daughter,Matt McAndrew,40,1
5468,2014-12-20,Royals,Taylor John Williams,100,1
5469,2014-12-20,Prayer In C,Lillywood & Robin Schulz,23,20
5470,2014-12-20,Geronimo,Sheppard,53,21
5471,2014-12-20,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,47,17
5472,2014-12-20,Like A Cowboy,Randy Houser,62,14
5473,2014-12-27,Make It Rain,Matt McAndrew,81,1
5474,2014-12-27,Have Yourself A Merry Little Christmas,Sam Smith,90,1
5475,2014-12-27,Come Join The Murder,The White Buffalo & The Forest Rangers,93,1
5476,2014-12-27,No Role Modelz,J. Cole,36,25
5477,2014-12-27,When I Was Your Man,Chris Jamison,98,1
5478,2014-12-27,Break The Rules,Charli XCX,91,3
5479,2014-12-27,The Old Rugged Cross,Craig Wayne Boyd,59,1
5480,2014-12-27,Wet Dreamz,J. Cole,61,20
5481,2015-01-03,My Baby's Got A Smile On Her Face,Craig Wayne Boyd,34,1
5482,2015-01-03,Feeling Myself,Nicki Minaj Featuring Beyonce,39,20
5483,2015-01-03,Wasted Love,Matt McAndrew,14,1
5484,2015-01-03,Lost Stars,Matt McAndrew & Adam Levine,83,1
5485,2015-01-03,Get On Your Knees,Nicki Minaj Featuring Ariana Grande,88,1
5486,2015-01-03,Lonely Eyes,Chris Young,50,18
5487,2015-01-03,Apparently,J. Cole,58,16
5488,2015-01-03,Soldier,Damien,74,1
5489,2015-01-03,Velvet,Chris Jamison,53,1
5490,2015-01-03,Masterpiece,Jessie J,65,3
5491,2015-01-03,Lost Without U,Chris Jamison & Adam Levine,63,1
5492,2015-01-10,Earned It (Fifty Shades Of Grey),The Weeknd,3,43
5493,2015-01-10,Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,43,10
5494,2015-01-10,Bad B*tch,French Montana Featuring Jeremih,95,1
5495,2015-01-10,Can't Stop Dancin',Becky G,88,3
5496,2015-01-10,Title,Meghan Trainor,100,1
5497,2015-01-17,Only One,Kanye West Featuring Paul McCartney,35,8
5498,2015-01-17,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,30,20
5499,2015-01-17,Take Your Time,Sam Hunt,20,32
5500,2015-01-17,What We Ain't Got,Jake Owen,89,11
5501,2015-01-17,A Guy Walks Into A Bar,Tyler Farr,51,20
5502,2015-01-17,Take It On Back,Chase Bryant,82,8
5503,2015-01-17,Ain't Worth The Whiskey,Cole Swindell,43,19
5504,2015-01-17,I Mean It,G-Eazy Featuring Remo,98,4
5505,2015-01-24,Ayo,Chris Brown & Tyga,21,20
5506,2015-01-24,Love Me Like You Do,Ellie Goulding,3,34
5507,2015-01-24,Elastic Heart,Sia,17,30
5508,2015-01-24,All About It,Hoodie Allen Featuring Ed Sheeran,71,4
5509,2015-01-24,Irresistible,Fall Out Boy,48,14
5510,2015-01-24,Not For Long,B.o.B Featuring Trey Songz,80,9
5511,2015-01-24,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,13,37
5512,2015-01-24,Blank Space,I Prevail,90,1
5513,2015-01-24,Best Friends,Sophia Grace,87,1
5514,2015-01-31,Heartbeat Song,Kelly Clarkson,21,20
5515,2015-01-31,Homegrown,Zac Brown Band,35,20
5516,2015-01-31,Sugar,Maroon 5,2,42
5517,2015-01-31,Glory,Common & John Legend,49,3
5518,2015-01-31,Say You Do,Dierks Bentley,52,18
5519,2015-01-31,The Body,Wale Featuring Jeremih,87,6
5520,2015-01-31,Uma Thurman,Fall Out Boy,22,27
5521,2015-02-07,Worth It,Fifth Harmony Featuring Kid Ink,12,36
5522,2015-02-07,Trap Queen,Fetty Wap,2,52
5523,2015-02-07,Somebody,Natalie La Rose Featuring Jeremih,10,26
5524,2015-02-07,Immortals,Fall Out Boy,72,8
5525,2015-02-07,Slow Motion,Trey Songz,26,26
5526,2015-02-07,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,4,20
5527,2015-02-07,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,14,20
5528,2015-02-14,Budapest,George Ezra,32,23
5529,2015-02-14,Chains,Nick Jonas,13,20
5530,2015-02-14,Talking Body,Tove Lo,12,30
5531,2015-02-14,I Bet,Ciara,43,14
5532,2015-02-14,Shots,Imagine Dragons,75,3
5533,2015-02-21,A Little Too Much,Shawn Mendes,94,1
5534,2015-02-21,Hotel,Kid Ink Featuring Chris Brown,96,1
